Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25/06/2020 17:01,photo,healthy eating,negative,10
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13/09/2020 00:11,photo,healthy eating,positive,45
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20/08/2020 18:17,photo,healthy eating,neutral,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11/02/2021 04:53,photo,healthy eating,negative,15
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08/03/2021 10:40,photo,healthy eating,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28/03/2021 21:15,photo,healthy eating,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25/05/2021 01:00,photo,healthy eating,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15/03/2021 12:17,photo,healthy eating,positive,50
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05/05/2021 16:26,photo,healthy eating,positive,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16/06/2021 03:02,photo,healthy eating,positive,60
9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07/07/2020 10:52,photo,healthy eating,neutral,20
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20/08/2020 07:59,photo,healthy eating,neutral,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23/09/2020 11:15,photo,healthy eating,positive,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24/03/2021 05:56,photo,healthy eating,positive,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07/12/2020 19:13,photo,healthy eating,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03/08/2020 16:41,photo,healthy eating,positive,75
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/01/2021 15:36,photo,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20/09/2020 08:48,photo,healthy eating,negative,15
230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20/07/2020 14:06,photo,healthy eating,positive,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24/10/2020 12:15,photo,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06/06/2021 01:27,photo,healthy eating,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25/12/2020 00:09,photo,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14/06/2021 07:56,photo,healthy eating,positive,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18/11/2020 23:37,photo,healthy eating,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09/05/2021 02:42,photo,healthy eating,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/05/2021 08:38,photo,healthy eating,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12/11/2020 08:00,photo,healthy eating,neutral,35
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21/06/2020 16:57,photo,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04/03/2021 23:58,photo,healthy eating,positive,75
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,09/07/2020 16:47,photo,healthy eating,positive,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,01/08/2020 19:16,photo,healthy eating,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23/11/2020 22:46,photo,healthy eating,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23/04/2021 23:41,photo,healthy eating,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13/11/2020 00:33,photo,healthy eating,positive,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09/06/2021 10:13,photo,healthy eating,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29/10/2020 19:41,photo,healthy eating,positive,65
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,14/05/2021 12:47,photo,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,04/08/2020 05:40,photo,healthy eating,negative,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,07/08/2020 04:09,photo,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23/10/2020 21:19,photo,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14/11/2020 23:53,photo,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,12/11/2020 04:54,photo,healthy eating,positive,30
e6ee2244-9382-49a9-8cbf-fa54aaaa2392,intrigued,03/03/2021 18:40,audio,travel,positive,45
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,super love,27/12/2020 17:21,photo,travel,positive,75
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,worried,21/05/2021 11:57,photo,travel,negative,12
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,heart,24/02/2021 18:34,photo,travel,positive,60
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,like,14/06/2021 17:44,photo,travel,positive,50
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,heart,20/10/2020 15:14,photo,travel,positive,60
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,want,09/12/2020 20:38,photo,travel,positive,70
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,indifferent,01/02/2021 11:27,photo,travel,neutral,20
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,love,06/12/2020 06:38,photo,travel,positive,65
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,peeking,28/08/2020 15:56,photo,travel,neutral,35
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,peeking,06/12/2020 22:28,photo,travel,neutral,35
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,love,14/12/2020 10:46,photo,travel,positive,65
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,11/09/2020 20:55,photo,travel,negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,26/07/2020 11:28,photo,travel,negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,adore,27/09/2020 17:24,photo,travel,positive,72
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,want,04/11/2020 17:10,photo,travel,positive,70
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,super love,18/12/2020 06:02,photo,travel,positive,75
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,intrigued,20/12/2020 05:16,photo,travel,positive,45
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,adore,03/04/2021 17:52,photo,travel,positive,72
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,love,19/04/2021 01:27,photo,travel,positive,65
34a3747a-0b77-42f6-ae19-87c38b94b674,interested,03/04/2021 09:24,GIF,science,positive,30
34a3747a-0b77-42f6-ae19-87c38b94b674,worried,19/03/2021 19:32,GIF,science,negative,12
34a3747a-0b77-42f6-ae19-87c38b94b674,love,18/05/2021 07:58,GIF,science,positive,65
34a3747a-0b77-42f6-ae19-87c38b94b674,cherish,14/03/2021 07:11,GIF,science,positive,70
34a3747a-0b77-42f6-ae19-87c38b94b674,adore,02/07/2020 11:39,GIF,science,positive,72
34a3747a-0b77-42f6-ae19-87c38b94b674,interested,19/09/2020 15:11,GIF,science,positive,30
34a3747a-0b77-42f6-ae19-87c38b94b674,love,05/04/2021 19:34,GIF,science,positive,65
34a3747a-0b77-42f6-ae19-87c38b94b674,love,27/05/2021 20:53,GIF,science,positive,65
34a3747a-0b77-42f6-ae19-87c38b94b674,intrigued,09/01/2021 20:40,GIF,science,positive,45
34a3747a-0b77-42f6-ae19-87c38b94b674,like,07/09/2020 01:45,GIF,science,positive,50
34a3747a-0b77-42f6-ae19-87c38b94b674,love,23/11/2020 05:19,GIF,science,positive,65
34a3747a-0b77-42f6-ae19-87c38b94b674,adore,13/05/2021 03:52,GIF,science,positive,72
34a3747a-0b77-42f6-ae19-87c38b94b674,interested,01/03/2021 20:21,GIF,science,positive,30
34a3747a-0b77-42f6-ae19-87c38b94b674,cherish,17/08/2020 16:53,GIF,science,positive,70
34a3747a-0b77-42f6-ae19-87c38b94b674,indifferent,30/06/2020 10:29,GIF,science,neutral,20
34a3747a-0b77-42f6-ae19-87c38b94b674,indifferent,30/04/2021 02:55,GIF,science,neutral,20
34a3747a-0b77-42f6-ae19-87c38b94b674,indifferent,09/08/2020 10:14,GIF,science,neutral,20
34a3747a-0b77-42f6-ae19-87c38b94b674,scared,31/01/2021 14:19,GIF,science,negative,15
34a3747a-0b77-42f6-ae19-87c38b94b674,hate,21/02/2021 17:06,GIF,science,negative,5
34a3747a-0b77-42f6-ae19-87c38b94b674,interested,19/10/2020 18:27,GIF,science,positive,30
34a3747a-0b77-42f6-ae19-87c38b94b674,peeking,18/06/2021 01:10,GIF,science,neutral,35
34a3747a-0b77-42f6-ae19-87c38b94b674,like,03/09/2020 13:24,GIF,science,positive,50
34a3747a-0b77-42f6-ae19-87c38b94b674,heart,09/03/2021 12:10,GIF,science,positive,60
34a3747a-0b77-42f6-ae19-87c38b94b674,peeking,23/06/2020 21:54,GIF,science,neutral,35
34a3747a-0b77-42f6-ae19-87c38b94b674,peeking,18/03/2021 13:28,GIF,science,neutral,35
34a3747a-0b77-42f6-ae19-87c38b94b674,heart,06/09/2020 17:27,GIF,science,positive,60
34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,28/04/2021 07:00,GIF,science,negative,0
34a3747a-0b77-42f6-ae19-87c38b94b674,peeking,04/03/2021 21:16,GIF,science,neutral,35
34a3747a-0b77-42f6-ae19-87c38b94b674,love,12/10/2020 05:59,GIF,science,positive,65
34a3747a-0b77-42f6-ae19-87c38b94b674,love,07/05/2021 04:02,GIF,science,positive,65
34a3747a-0b77-42f6-ae19-87c38b94b674,heart,20/07/2020 04:52,GIF,science,positive,60
34a3747a-0b77-42f6-ae19-87c38b94b674,adore,29/04/2021 09:59,GIF,science,positive,72
34a3747a-0b77-42f6-ae19-87c38b94b674,hate,29/04/2021 06:42,GIF,science,negative,5
34a3747a-0b77-42f6-ae19-87c38b94b674,dislike,13/02/2021 18:54,GIF,science,negative,10
34a3747a-0b77-42f6-ae19-87c38b94b674,indifferent,23/08/2020 13:12,GIF,science,neutral,20
34a3747a-0b77-42f6-ae19-87c38b94b674,cherish,09/10/2020 19:16,GIF,science,positive,70
34a3747a-0b77-42f6-ae19-87c38b94b674,worried,17/11/2020 18:45,GIF,science,negative,12
34a3747a-0b77-42f6-ae19-87c38b94b674,worried,18/04/2021 00:54,GIF,science,negative,12
34a3747a-0b77-42f6-ae19-87c38b94b674,adore,14/01/2021 09:05,GIF,science,positive,72
34a3747a-0b77-42f6-ae19-87c38b94b674,intrigued,14/05/2021 17:54,GIF,science,positive,45
34a3747a-0b77-42f6-ae19-87c38b94b674,hate,24/08/2020 14:46,GIF,science,negative,5
34a3747a-0b77-42f6-ae19-87c38b94b674,hate,14/02/2021 18:33,GIF,science,negative,5
f4e3840e-bb71-40c2-afc5-9408d842646d,cherish,28/06/2020 07:53,photo,healthy eating,positive,70
f4e3840e-bb71-40c2-afc5-9408d842646d,adore,09/12/2020 23:38,photo,healthy eating,positive,72
f4e3840e-bb71-40c2-afc5-9408d842646d,hate,27/03/2021 05:17,photo,healthy eating,negative,5
f4e3840e-bb71-40c2-afc5-9408d842646d,super love,17/04/2021 18:59,photo,healthy eating,positive,75
f4e3840e-bb71-40c2-afc5-9408d842646d,adore,05/07/2020 19:22,photo,healthy eating,positive,72
f4e3840e-bb71-40c2-afc5-9408d842646d,dislike,08/05/2021 07:39,photo,healthy eating,negative,10
f4e3840e-bb71-40c2-afc5-9408d842646d,like,02/10/2020 00:45,photo,healthy eating,positive,50
f4e3840e-bb71-40c2-afc5-9408d842646d,interested,04/01/2021 04:40,photo,healthy eating,positive,30
f4e3840e-bb71-40c2-afc5-9408d842646d,intrigued,06/06/2021 18:49,photo,healthy eating,positive,45
f4e3840e-bb71-40c2-afc5-9408d842646d,super love,02/10/2020 01:50,photo,healthy eating,positive,75
f4e3840e-bb71-40c2-afc5-9408d842646d,cherish,02/11/2020 14:43,photo,healthy eating,positive,70
f4e3840e-bb71-40c2-afc5-9408d842646d,worried,10/12/2020 08:47,photo,healthy eating,negative,12
f4e3840e-bb71-40c2-afc5-9408d842646d,want,15/04/2021 04:37,photo,healthy eating,positive,70
